"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Shai Gilgeous-Alexander","OKC","PG","32.6","5.4","6.4","0.9","1.8",".520",".893","1.8","77","34.9","2.5"
"Giannis Antetokounmpo","MIL","PF,C","32.1","11.6","6.6","1.0","1.0",".586",".638","0.4","74","35.4","3.6"
"Luka Doncic","LAL","PG,SG","29.5","8.5","8.5","0.5","1.5",".473",".774","3.1","75","36.4","3.9"
"Anthony Edwards","MIN","PG,SF,SG","27.5","5.9","5.2","0.7","1.3",".450",".822","3.6","78","36.9","3.2"
"Nikola Jokic","DEN","C","27.5","12.4","9.5","0.7","1.6",".575",".807","1.6","76","36.1","3.2"
"Devin Booker","PHO","PG,SG","26.6","4.1","7.0","0.3","0.9",".469",".886","2.3","76","37.0","2.8"
"Joel Embiid","PHI","C OUT","26.1","8.4","4.0","1.2","0.9",".495",".873","1.1","59","31.3","3.1"
"Stephen Curry","GSW","PG","25.9","4.8","5.6","0.4","1.1",".451",".925","4.6","75","33.0","2.9"
"Donovan Mitchell","CLE","PG,SG","25.8","4.7","5.2","0.3","1.5",".455",".836","3.5","76","33.5","2.4"
"Jalen Brunson","NYK","PG","25.8","3.1","7.0","0.2","0.9",".489",".828","2.3","75","35.6","2.4"
"Kyrie Irving","DAL","PG,SG OUT","25.7","4.7","5.1","0.5","1.2",".484",".907","2.8","37","36.5","2.1"
"Jaylen Brown","BOS","SG,SF","25.6","7.3","4.5","0.6","1.5",".478",".738","2.3","75","35.7","3.1"
"Cade Cunningham","DET","PG,SG","25.4","5.8","8.5","0.6","1.0",".463",".850","2.1","75","35.5","4.2"
"Trae Young","ATL","PG DTD","25.1","3.1","11.2","0.2","1.3",".418",".873","2.9","76","35.9","4.6"
"Ja Morant","MEM","PG DTD","24.8","5.3","8.1","0.3","1.2",".455",".785","1.7","72","33.1","3.6"
"Anthony Davis","DAL","PF,C DTD","24.6","11.9","3.4","2.2","1.2",".540",".793","0.5","71","35.2","2.1"
"Tyrese Maxey","PHI","PG,SG DTD","24.5","3.2","5.4","0.3","1.4",".446",".873","3.0","74","37.2","2.0"
"LeBron James","LAL","SF,PF","24.4","7.5","7.7","0.6","1.0",".519",".772","2.1","73","35.4","3.5"
"LaMelo Ball","CHA","PG,SG OUT","24.3","4.9","7.4","0.3","1.2",".403",".847","4.0","71","34.0","3.5"
"Kevin Durant","HOU","SF,PF","24.3","5.8","3.7","1.0","0.8",".519",".859","2.1","73","33.9","2.7"
"Victor Wembanyama","SAS","C DTD","24.0","10.5","3.8","3.4","1.2",".467",".827","2.4","74","33.3","3.4"
"Zion Williamson","NOR","PF,SF","23.6","6.3","5.0","0.7","1.2",".572",".686","0.1","69","32.1","3.0"
"Paolo Banchero","ORL","C,PF,SF","23.2","7.7","4.8","0.7","0.9",".446",".729","1.6","75","35.1","3.0"
"Anfernee Simons","BOS","PG,SG DTD","22.9","3.7","5.8","0.2","0.9",".429",".902","4.0","74","33.9","2.3"
"De'Aaron Fox","SAS","PG,SG","22.8","4.2","5.8","0.4","1.5",".465",".790","1.9","75","35.1","2.6"
"Pascal Siakam","IND","C,PF,SF","22.6","7.4","4.7","0.5","0.9",".514",".740","1.5","78","35.2","1.8"
"Karl-Anthony Towns","NYK","PF,C DTD","22.5","10.9","3.0","0.6","0.9",".512",".842","2.0","76","34.2","2.5"
"DeMar DeRozan","SAC","PF,SF","22.5","4.1","4.7","0.5","1.0",".480",".859","1.0","77","36.6","1.6"
"Kawhi Leonard","LAC","PF,SF DTD","22.4","5.9","3.4","0.5","1.6",".516",".842","2.1","64","33.0","1.9"
