,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
1,Shai Gilgeous-Alexander,OKC,G,76,34.2,32.7,5.0,6.4,1.7,1.0,2.1,51.9,89.8,2.4,5.7,37.5,11.3,21.8,7.9,8.8,0.1,0.0,2.2,54.1
2,Giannis Antetokounmpo,MIL,F,67,34.2,30.4,11.9,6.5,0.9,1.2,0.2,60.1,61.7,3.1,0.9,22.2,11.8,19.7,6.5,10.6,0.8,0.2,2.3,57.4
3,Nikola Jokic,DEN,C,70,36.8,29.6,12.7,10.2,1.8,0.6,2.0,57.6,80.0,3.3,4.7,41.7,11.2,19.5,5.2,6.4,0.8,0.5,2.3,64.3
4,Luka Doncic,LAL,G,50,35.3,28.2,8.2,7.7,1.8,0.4,3.5,45.0,78.2,3.6,9.6,36.8,9.2,20.5,6.2,7.9,0.4,0.1,2.5,52.5
5,Anthony Edwards,MIN,G,79,36.3,27.6,5.7,4.5,1.2,0.6,4.1,44.7,83.7,3.2,10.3,39.5,9.1,20.4,5.3,6.3,0.1,0.0,1.9,43.4
6,Jayson Tatum,BOS,F,72,36.4,26.8,8.7,6.0,1.1,0.5,3.5,45.2,81.4,2.9,10.1,34.3,9.2,20.3,5.0,6.1,0.4,0.0,2.2,48.0
7,Kevin Durant,HOU,F,62,36.6,26.6,6.0,4.2,0.8,1.2,2.6,52.7,83.9,3.1,6.0,43.0,9.5,18.1,4.9,5.8,0.1,0.0,1.7,43.2
8,Tyrese Maxey,PHI,G,52,37.7,26.3,3.3,6.1,1.8,0.4,3.1,43.7,87.9,2.4,9.2,33.7,9.2,21.0,4.9,5.6,0.2,0.0,2.2,43.6
9,Cade Cunningham,DET,G,70,35.0,26.1,6.1,9.1,1.0,0.8,2.1,46.9,84.6,4.4,6.0,35.6,9.8,20.8,4.5,5.3,0.4,0.1,2.8,48.0
10,Jalen Brunson,NYK,G,65,35.4,26.0,2.9,7.3,0.9,0.1,2.3,48.8,82.1,2.5,6.1,38.3,9.0,18.5,5.7,6.9,0.2,0.0,2.1,41.0
11,Paolo Banchero,ORL,F,46,34.4,25.9,7.5,4.8,0.8,0.6,1.9,45.2,72.7,3.0,5.9,32.0,9.0,19.8,6.1,8.4,0.2,0.0,2.1,43.3
12,Devin Booker,PHO,G,75,37.3,25.6,4.1,7.1,0.9,0.2,2.4,46.1,89.4,2.9,7.3,33.2,8.7,18.9,5.8,6.4,0.2,0.0,2.6,41.5
13,LaMelo Ball,CHA,G,47,32.0,25.2,4.9,7.4,1.1,0.3,3.8,40.5,84.3,3.6,11.2,33.9,8.6,21.3,4.1,4.9,0.3,0.0,3.3,42.9
14,Damian Lillard,POR,G,58,36.1,24.9,4.7,7.1,1.2,0.2,3.4,44.8,92.1,2.8,9.0,37.6,7.7,17.1,6.2,6.8,0.2,0.0,1.7,42.5
T15,Kyrie Irving,DAL,G,50,36.0,24.7,4.8,4.6,1.3,0.5,2.9,47.3,91.6,2.2,7.2,40.1,8.9,18.9,3.9,4.3,0.0,0.0,2.0,40.5
T15,Anthony Davis,DAL,C,51,33.4,24.7,11.6,3.5,1.2,2.2,0.7,51.6,77.5,2.2,2.4,28.2,9.2,17.8,5.6,7.2,0.7,0.0,1.9,51.7
17,Zion Williamson,NOP,F,30,28.5,24.6,7.2,5.3,1.2,0.9,0.1,56.7,65.6,3.0,0.4,23.1,9.6,16.9,5.3,8.0,0.3,0.1,2.7,44.6
18,Stephen Curry,GSW,G,70,32.1,24.5,4.4,6.0,1.1,0.4,4.4,44.8,93.3,2.9,11.2,39.7,8.1,18.0,4.0,4.3,0.1,0.0,1.4,40.7
T19,LeBron James,LAL,F,70,34.9,24.4,7.8,8.2,1.0,0.6,2.1,51.3,78.2,3.7,5.7,37.6,9.3,18.1,3.7,4.7,0.5,0.1,1.4,47.1
T19,Karl-Anthony Towns,NYK,C,72,35.0,24.4,12.8,3.1,1.0,0.7,2.0,52.6,82.9,2.7,4.7,42.0,8.9,16.9,4.7,5.7,0.8,0.0,3.5,46.8
21,Victor Wembanyama,SAS,C,46,33.1,24.3,11.0,3.7,1.1,3.8,3.1,47.6,83.6,3.2,8.8,35.2,8.9,18.6,3.4,4.1,0.6,0.0,2.3,54.6
T22,Trae Young,ATL,G,76,36.0,24.2,3.1,11.6,1.2,0.2,2.9,41.1,87.5,4.7,8.4,34.0,7.4,18.1,6.5,7.4,0.7,0.0,1.9,44.7
T22,Franz Wagner,ORL,F,60,33.7,24.2,5.7,4.7,1.3,0.4,1.7,46.3,87.1,2.3,5.9,29.5,9.0,19.4,4.5,5.2,0.1,0.0,2.5,40.6
T24,Cam Thomas,BKN,G,25,31.2,24.0,3.3,3.8,0.6,0.1,2.7,43.8,88.1,2.5,7.8,34.9,8.0,18.2,5.3,6.0,0.0,0.0,1.8,33.1
T24,Donovan Mitchell,CLE,G,71,31.4,24.0,4.5,5.0,1.3,0.2,3.3,44.3,82.3,2.1,8.9,36.8,8.2,18.6,4.2,5.1,0.1,0.0,2.0,39.5
26,Tyler Herro,MIA,G,77,35.4,23.9,5.2,5.5,0.9,0.2,3.3,47.2,87.8,2.6,8.7,37.4,8.5,17.9,3.7,4.2,0.1,0.0,1.1,39.2
27,Joel Embiid,PHI,C,19,30.2,23.8,8.2,4.5,0.7,0.9,1.2,44.4,88.2,3.3,4.1,29.9,7.4,16.6,7.8,8.9,0.4,0.1,2.2,42.1
28,De'Aaron Fox,SAS,G,62,36.2,23.5,4.8,6.3,1.5,0.4,1.9,46.3,82.7,2.8,6.1,31.0,8.7,18.8,4.2,5.1,0.1,0.0,2.6,41.6
29,Zach LaVine,SAC,F,74,35.3,23.3,4.3,4.2,0.8,0.2,3.2,51.1,82.5,2.8,7.2,44.6,8.4,16.5,3.2,3.9,0.1,0.0,1.6,34.7
30,Ja Morant,MEM,G,50,30.3,23.2,4.1,7.3,1.2,0.2,1.8,45.4,82.4,3.7,5.7,30.9,8.1,17.8,5.3,6.4,0.3,0.0,2.3,39.7
