ADP,Player,Team,Position(s),ADP.1,Min Pick,Max Pick
1,Nikola Jokic,DEN,C,1.14,1,2
2,Victor Wembanyama,SA,"F, C",1.86,1,2
3,Shai Gilgeous-Alexander,OKC,G,3.0,3,3
4,Luka Doncic,LAL,G,4.0,4,4
5,Cade Cunningham,DET,G,5.57,5,7
6,Anthony Edwards,MIN,G,5.71,5,7
7,Trae Young,ATL,G,8.43,6,11
8,Karl-Anthony Towns,NY,"F, C",9.29,7,12
9,James Harden,LAC,G,9.71,7,16
10,Anthony Davis,DAL,"F, C",9.86,8,12
11,Giannis Antetokounmpo,MIL,F,11.29,6,21
12,Devin Booker,PHO,G,11.43,9,15
13,Stephen Curry,GS,G,14.14,12,20
14,Domantas Sabonis,SAC,"F, C",14.43,9,17
15,Tyrese Maxey,PHI,G,14.86,13,18
16,Kevin Durant,HOU,F,15.0,11,19
17,Donovan Mitchell,CLE,G,17.0,14,20
18,Josh Giddey,CHI,G,17.29,14,22
19,Amen Thompson,HOU,F,17.86,15,21
20,Evan Mobley,CLE,F,19.43,17,22
21,Jalen Johnson,ATL,F,22.71,19,25
22,Chet Holmgren,OKC,"F, C",23.0,21,27
23,Bam Adebayo,MIA,"F, C",24.43,21,27
24,Jalen Williams,OKC,G,24.43,21,29
25,Scottie Barnes,TOR,F,26.57,20,32
26,LeBron James,LAL,F,27.0,18,37
27,Alperen Sengun,HOU,C,27.14,20,31
28,Jalen Brunson,NY,G,29.0,26,34
29,Jamal Murray,DEN,G,30.14,25,35
30,Myles Turner,MIL,C,30.43,22,39
31,LaMelo Ball,CHA,G,31.86,24,40
32,Paolo Banchero,ORL,F,33.57,24,41
33,Austin Reaves,LAL,G,33.86,30,39
34,Cooper Flagg,DAL,F,33.86,25,41
35,Derrick White,BOS,G,34.29,28,37
36,Jaren Jackson,MEM,"F, C",37.0,28,42
37,Kawhi Leonard,LAC,F,39.71,30,47
38,Franz Wagner,ORL,F,39.86,34,48
39,Ivica Zubac,LAC,C,41.57,29,47
40,Jaylen Brown,BOS,F,41.57,27,57
41,Deni Avdija,POR,F,41.86,34,55
42,Ja Morant,MEM,G,42.43,32,50
43,Pascal Siakam,IND,F,42.71,33,51
44,Dyson Daniels,ATL,G,43.14,37,54
45,Trey Murphy,NO,F,44.43,39,48
46,Desmond Bane,ORL,G,45.86,28,58
47,Brandon Miller,CHA,F,47.14,38,58
48,De'Aaron Fox,SA,G,47.29,32,58
49,Jakob Poeltl,TOR,C,47.29,39,57
50,Mark Williams,PHO,C,48.14,42,64
51,Nikola Vucevic,CHI,C,51.43,44,59
52,Jalen Duren,DET,C,52.14,48,57
53,Walker Kessler,UTH,C,52.71,44,68
54,Coby White,CHI,G,53.29,42,61
55,Jarrett Allen,CLE,C,55.43,46,62
56,OG Anunoby,NY,F,58.0,49,70
57,Payton Pritchard,BOS,G,58.43,51,67
58,Deandre Ayton,LAL,C,58.86,50,69
59,Zach LaVine,SAC,G,59.57,52,68
60,Matas Buzelis,CHI,F,60.43,51,71
61,Onyeka Okongwu,ATL,C,61.0,55,70
62,Joel Embiid,PHI,C,62.0,45,79
63,Zion Williamson,NO,F,63.86,59,69
