nfbc_adp
ADP	Player	Team	Position(s)	Min Pick	Max Pick
1	Nikola Jokic	DEN	C	1	1
2	Victor Wembanyama	SA	"F, C"	2	2
3	Shai Gilgeous-Alexander	OKC	G	3	4
4	Luka Doncic	LAL	G	3	5
5	Cade Cunningham	DET	G	5	8
6	Anthony Edwards	MIN	G	5	8
7	Anthony Davis	DAL	"F, C"	6	11
8	Trae Young	ATL	G	7	11
9	Karl-Anthony Towns	NY	"F, C"	6	12
10	James Harden	LAC	G	7	13
11	Giannis Antetokounmpo	MIL	F	3	17
12	Devin Booker	PHO	G	8	17
13	Domantas Sabonis	SAC	"F, C"	7	19
14	Tyrese Maxey	PHI	G	13	23
15	Kevin Durant	HOU	F	12	27
16	Josh Giddey	CHI	G	14	24
17	Stephen Curry	GS	G	13	40
18	Amen Thompson	HOU	F	13	26
19	Jalen Johnson	ATL	F	14	23
20	Evan Mobley	CLE	F	20	23
21	Donovan Mitchell	CLE	G	18	33
22	Jalen Williams	OKC	G	13	39
23	LeBron James	LAL	F	16	36
24	Bam Adebayo	MIA	"F, C"	20	28
25	Chet Holmgren	OKC	"F, C"	21	28
26	Scottie Barnes	TOR	F	19	33
27	Jalen Brunson	NY	G	25	35
28	Alperen Sengun	HOU	C	15	37
29	De'Aaron Fox	SA	G	23	34
30	Paolo Banchero	ORL	F	11	39
31	Jamal Murray	DEN	G	25	41
32	Myles Turner	MIL	C	25	55
33	Jaren Jackson	MEM	"F, C"	28	47
34	LaMelo Ball	CHA	G	25	46
35	Derrick White	BOS	G	26	45
36	Austin Reaves	LAL	G	31	54
37	Franz Wagner	ORL	F	26	43
38	Pascal Siakam	IND	F	21	57
39	Cooper Flagg	DAL	F	28	47
40	Jaylen Brown	BOS	F	29	48
41	Ja Morant	MEM	G	37	46
42	Ivica Zubac	LAC	C	34	44
43	Kawhi Leonard	LAC	F	27	82
44	Deni Avdija	POR	F	30	53
45	Nikola Vucevic	CHI	C	36	55
46	Mark Williams	PHO	C	40	56
47	Brandon Miller	CHA	F	39	56
48	Trey Murphy	NO	F	36	55
49	Walker Kessler	UTH	C	44	56
50	Dyson Daniels	ATL	G	35	70
51	Jalen Duren	DET	C	41	58
52	Jakob Poeltl	TOR	C	42	62
53	Desmond Bane	ORL	G	42	73
54	Joel Embiid	PHI	C	43	62
55	Coby White	CHI	G	48	60
56	Jarrett Allen	CLE	C	52	71
57	Deandre Ayton	LAL	C	54	67
58	Tyler Herro	MIA	G	29	112
59	Kristaps Porzingis	ATL	"F, C"	49	69
60	Zion Williamson	NO	F	32	78
61	Payton Pritchard	BOS	G	49	86
62	Julius Randle	MIN	"F, C"	43	79
63	Alex Sarr	WAS	"F, C"	58	77
64	Onyeka Okongwu	ATL	C	52	75
65	Zach LaVine	SAC	G	50	103
66	Rudy Gobert	MIN	C	54	76
67	OG Anunoby	NY	F	61	83
68	Jalen Green	PHO	G	31	82
69	Jordan Poole	NO	G	55	95
70	Andrew Nembhard	IND	G	49	101
71	Matas Buzelis	CHI	F	68	79
72	Donovan Clingan	POR	C	63	80
73	Darius Garland	CLE	G	56	98
74	Immanuel Quickley	TOR	G	59	81
75	Mikal Bridges	NY	F	56	87
76	Isaiah Hartenstein	OKC	"F, C"	67	82
77	Jimmy Butler	GS	F	62	85
78	Kel'el Ware	MIA	C	65	86
79	Lauri Markkanen	UTH	F	58	89
80	Miles Bridges	CHA	F	57	91
81	Naz Reid	MIN	"F, C"	74	87
82	DeMar DeRozan	SAC	F	48	104
83	Ausar Thompson	DET	F	73	87
84	Michael Porter	BKN	F	74	103
85	Josh Hart	NY	G	49	106
86	Brandon Ingram	TOR	F	80	92
87	John Collins	LAC	F	78	104
88	Cameron Johnson	DEN	F	78	105
89	Toumani Camara	POR	F	81	108
90	Shaedon Sharpe	POR	G	78	112
91	Cam Thomas	BKN	G	55	130
92	Christian Braun	DEN	G	83	127
93	Norman Powell	MIA	G	89	117
94	Nic Claxton	BKN	C	88	122
95	Jaden McDaniels	MIN	F	72	121
96	Keegan Murray	SAC	F	88	114
97	Anfernee Simons	BOS	G	72	119
98	Kevin Porter	MIL	G	93	116
99	Zach Edey	MEM	C	89	111
100	Bennedict Mathurin	IND	F	94	113
101	Tari Eason	HOU	F	84	129
102	Scoot Henderson	POR	G	82	142
103	Andrew Wiggins	MIA	F	84	113
104	Jalen Suggs	ORL	G	85	117
105	Bobby Portis	MIL	"F, C"	90	126
106	Tobias Harris	DET	F	101	114
107	Kyle Filipowski	UTH	C	77	118
108	Stephon Castle	SA	G	90	153
109	Aaron Nesmith	IND	F	96	130
110	Reed Sheppard	HOU	G	97	130
111	Daniel Gafford	DAL	"F, C"	69	131
112	Dereck Lively	DAL	C	74	134
113	CJ McCollum	WAS	G	99	138
114	Jaden Ivey	DET	G	91	131
115	Brandin Podziemski	GS	G	107	128
116	RJ Barrett	TOR	F	59	135
117	Santi Aldama	MEM	F	97	141
118	Paul George	PHI	F	73	161
119	Bradley Beal	LAC	G	102	168
120	Neemias Queta	BOS	C	109	129
121	P.J. Washington	DAL	"F, C"	72	138
122	Herbert Jones	NO	F	117	128
123	Donte DiVincenzo	MIN	G	109	157
124	T.J. McConnell	IND	G	89	146
125	Aaron Gordon	DEN	F	118	140
126	Devin Vassell	SA	G	104	154
127	Adem Bona	PHI	"F, C"	102	146
128	Yves Missi	NO	C	104	146
129	D'Angelo Russell	DAL	G	114	152
130	Draymond Green	GS	F	110	137
131	Jay Huff	IND	C	111	175
132	Keyonte George	UTH	G	122	144
133	Malik Monk	SAC	G	110	155
134	Jrue Holiday	POR	G	114	171
135	Jabari Smith	HOU	F	112	153
136	Bub Carrington	WAS	G	97	160
137	Brook Lopez	LAC	C	96	164
138	Zaccharie Risacher	ATL	F	132	150
139	Wendell Carter	ORL	"F, C"	133	144
140	De'Andre Hunter	CLE	F	132	150
141	Mitchell Robinson	NY	C	123	158
142	Scotty Pippen	MEM	G	140	148
143	Isaiah Collier	UTH	G	132	161
144	Kyshawn George	WAS	G	133	159
145	Davion Mitchell	MIA	G	133	163
146	Cam Whitmore	WAS	F	131	167
147	Dennis Schroder	SAC	G	109	173
148	Collin Sexton	CHA	G	127	166
149	Isaiah Jackson	IND	C	139	162
150	Kelly Oubre	PHI	F	128	167
151	VJ Edgecombe	PHI	G	135	171
152	Ty Jerome	MEM	G	127	183
153	Cason Wallace	OKC	G	137	176
154	Bilal Coulibaly	WAS	F	143	166
155	Klay Thompson	DAL	F	131	182
156	Jonathan Kuminga	GS	F	120	180
157	Quentin Grimes	PHI	G	142	174
158	Nikola Jovic	MIA	F	147	174
159	Isaiah Stewart	DET	"F, C"	149	173
160	Jaylen Wells	MEM	G	150	177
161	Chris Boucher	BOS	"F, C"	151	181
162	Obi Toppin	IND	F	155	180
163	Kon Knueppel	CHA	G	158	175
164	Ryan Dunn	PHO	F	145	195
165	Kyrie Irving	DAL	G	141	194
166	Brice Sensabaugh	UTH	F	146	196
167	Kyle Kuzma	MIL	F	140	209
168	Ace Bailey	UTH	G	138	193
169	Ayo Dosunmu	CHI	G	163	182
170	Taylor Hendricks	UTH	F	155	214
171	Keon Ellis	SAC	G	122	260
172	Jonas Valanciunas	DEN	C	156	194
173	Egor Demin	BKN	F	166	190
174	Dylan Harper	SA	G	174	191
175	Khris Middleton	WAS	F	166	207
176	Jerami Grant	POR	F	136	199
177	Gary Trent	MIL	G	168	201
178	Grayson Allen	PHO	G	170	204
179	Al Horford	GS	C	155	228
180	Rui Hachimura	LAL	F	168	201
181	Sam Hauser	BOS	F	167	221
182	Lonzo Ball	CLE	G	161	215
183	Dejounte Murray	NO	G	159	234
184	Jeremy Sochan	SA	F	158	211
185	Day'Ron Sharpe	BKN	"F, C"	165	185
186	Moussa Diabate	CHA	C	161	207
187	Duncan Robinson	DET	F	185	217
188	Ryan Kalkbrenner	CHA	C	161	206
189	Goga Bitadze	ORL	C	169	190
190	Dillon Brooks	PHO	F	169	191
191	Russell Westbrook	DEN	G	145	236
192	Walter Clayton	UTH	G	179	245
193	Buddy Hield	GS	G	183	239
194	Kevin Huerter	CHI	G	179	211
195	Zach Collins	CHI	"F, C"	174	204
196	Caris LeVert	DET	G	182	202
197	Tre Johnson	WAS	G	170	224
198	Tyus Jones	ORL	G	187	239
199	Luguentz Dort	OKC	F	188	203
200	Derik Queen	NO	C	144	227
201	Jared McCain	PHI	G	151	230
202	Guerschon Yabusele	NY	"F, C"	158	222
203	Clint Capela	HOU	C	129	268
204	Aaron Wiggins	OKC	G	196	209
205	Jaylin Williams	OKC	"F, C"	188	218
206	Rob Dillingham	MIN	G	169	238
207	Luke Kornet	SA	C	165	219
208	Nickeil Alexander-Walker	ATL	G	197	228
209	Khaman Maluach	PHO	C	191	217
210	Luka Garza	BOS	C	187	222
211	Jaime Jaquez	MIA	F	172	227
212	Marcus Smart	LAL	G	183	267
213	Nick Richards	PHO	"F, C"	160	233
