,,,,,,,,,,,,,,,
Rank,Name,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Status,Injury
1,Victor Wembanyama,SAN,C,70,34.0,26.8,11.2,4.1,1.3,3.9,3.4,49.2,84.3,,
2,Shai Gilgeous-Alexander,OKC,G,73,33.8,32.3,5.2,6.8,1.7,1.0,2.2,52.0,88.3,,Rest
3,Nikola Jokic,DEN,C,74,34.0,26.7,11.8,9.4,1.5,0.7,1.7,57.9,81.3,,
4,Luka Doncic,LAL,G,68,34.5,29.0,7.9,7.8,1.6,0.3,3.5,46.9,77.0,,Rest
5,Anthony Edwards,MIN,G,79,35.5,28.0,5.5,5.0,1.3,0.6,4.1,44.8,82.9,,Rest
6,Cade Cunningham,DET,G,69,34.5,26.8,6.2,8.9,1.1,0.7,2.2,48.2,85.1,,
7,Trae Young,ATL,G,72,36.0,24.7,3.2,10.4,1.2,0.1,3.0,42.1,87.4,,
8,James Harden,LAC,G,69,34.4,21.8,5.3,8.3,1.1,0.5,2.9,42.1,87.1,,
9,Giannis Antetokounmpo,MIL,F,68,34.5,31.8,11.5,6.9,1.0,1.0,0.5,57.0,63.9,,Illness
10,Devin Booker,PHO,G,68,36.5,28.5,4.4,7.3,1.0,0.4,2.6,47.0,87.0,,
11,Tyrese Maxey,PHI,G,69,35.8,25.8,3.5,6.4,1.4,0.4,3.3,44.5,86.0,,
12,LeBron James,LAL,F,66,34.0,23.9,6.8,7.5,1.0,0.5,2.2,51.4,76.5,,Pinched Nerve
13,Josh Giddey,CHI,G,70,33.9,17.2,8.1,8.8,1.1,0.7,1.5,46.4,78.2,,
14,Stephen Curry,GS,G,67,32.0,23.9,4.3,5.8,0.9,0.3,4.4,44.8,91.8,,
15,Anthony Davis,DAL,C,65,33.5,24.1,11.1,4.4,1.1,2.2,0.9,50.0,79.1,,
16,Scottie Barnes,TOR,F,71,34.5,19.4,7.9,5.5,1.4,1.2,1.5,45.6,77.0,,
17,LaMelo Ball,CHR,G,60,33.0,24.5,5.1,7.5,1.3,0.3,3.8,41.0,84.5,,
18,Jalen Williams,OKC,F,70,33.0,22.4,5.3,5.6,1.7,0.6,1.9,49.9,81.0,,Wrist
19,Derrick White,BOS,G,74,33.0,18.6,4.6,5.4,0.9,1.0,3.2,42.5,84.0,,
20,Donovan Mitchell,CLE,G,68,32.0,24.7,4.5,5.1,1.4,0.4,3.4,45.6,85.1,,
21,Kevin Durant,HOU,F,65,35.0,24.8,5.6,4.6,0.8,1.0,2.2,52.0,85.2,,
22,Brandon Miller,CHR,F,70,34.5,23.0,5.0,3.8,1.3,0.7,3.9,42.5,84.7,,
23,Amen Thompson,HOU,G,70,35.0,17.7,8.8,4.9,1.8,1.4,0.6,54.4,69.8,,
24,Evan Mobley,CLE,F,70,30.5,19.5,9.5,3.4,1.0,1.5,1.4,56.4,74.1,,
25,Jalen Johnson,ATL,F,69,35.0,20.1,9.1,5.2,1.4,0.9,1.4,50.0,74.4,,
26,Ja Morant,MEM,G,62,33.0,24.6,4.6,8.3,1.0,0.4,1.8,45.7,82.2,,Ankle
27,Jalen Brunson,NY,G,70,34.5,25.4,2.8,6.9,0.9,0.1,2.4,47.5,83.0,,
28,Jaylen Brown,BOS,F,68,34.0,25.7,7.1,5.1,1.3,0.3,2.3,47.3,74.9,,Knee
29,Karl-Anthony Towns,NY,C,70,34.0,23.4,12.8,3.4,1.0,0.8,2.1,52.2,88.2,,
30,Trey Murphy,NOR,F,65,34.5,21.6,4.8,3.8,1.1,0.8,3.1,47.1,86.9,,Foot
31,De'Aaron Fox,SAN,G,67,34.0,21.3,4.1,6.8,1.5,0.4,1.9,47.0,78.1,,Hamstring
32,Paolo Banchero,ORL,F,69,34.0,25.4,7.1,4.8,0.9,0.7,1.9,47.4,75.0,,
33,Chet Holmgren,OKC,C,68,30.0,18.0,8.7,2.4,0.8,2.5,1.6,52.7,78.2,,Rest
34,Austin Reaves,LAL,G,70,34.5,20.2,4.1,5.5,1.0,0.3,2.8,47.8,87.0,,Undisclosed
35,Deni Avdija,POR,F,74,32.0,18.8,7.5,4.5,1.2,0.6,2.0,47.6,76.1,,
36,Dyson Daniels,ATL,G,70,33.0,14.6,5.9,4.5,2.8,0.8,1.2,49.6,63.3,,
37,Pascal Siakam,IND,F,72,33.2,23.0,7.6,5.2,0.8,0.5,1.6,48.8,74.1,,
38,Coby White,CHI,G,74,34.0,21.4,4.1,4.8,0.9,0.2,3.2,44.0,86.9,,Calf
39,Domantas Sabonis,SAC,C,75,34.5,19.7,13.5,6.2,0.9,0.4,0.9,58.0,74.0,,
40,Zion Williamson,NOR,F,59,30.0,26.4,7.4,5.4,1.2,0.9,0.1,57.6,70.0,,
41,Desmond Bane,ORL,G,69,32.4,20.1,4.8,4.4,1.1,0.4,2.9,46.4,87.6,,
42,Alex Sarr,WAS,C,70,30.9,16.3,7.7,2.9,0.7,1.7,2.0,42.4,70.2,,Calf
43,Matas Buzelis,CHI,F,75,30.0,15.1,5.9,2.4,0.7,1.6,1.9,46.3,80.9,,
44,Payton Pritchard,BOS,G,76,31.0,17.0,4.3,4.6,1.1,0.2,3.4,45.2,83.0,,
