,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
1,Nikola Jokic,DEN,9,38.7,33.9,12.1,9.8,2.1,0.4,2.4,58.0,78.7,1.61,3.02,2.47,2.63,2.34,-0.35,0.62,2.02,0.17
2,James Harden,LAC,15,36.2,24.7,5.5,8.6,1.5,0.9,2.9,47.7,89.0,0.99,1.40,-0.09,2.09,0.94,0.62,1.08,-0.36,2.22
3,Shai Gilgeous-Alexander,OKC,12,33.4,32.3,4.3,7.3,1.4,0.8,2.1,48.9,88.7,0.92,2.73,-0.56,1.52,0.83,0.42,0.28,-0.26,2.42
4,Luka Doncic,DAL/LAL,15,35.9,30.0,7.6,7.5,1.4,0.4,3.9,46.2,81.7,0.89,2.33,0.71,1.58,0.79,-0.44,1.97,-0.84,1.01
5,Kawhi Leonard,LAC,13,35.4,26.4,7.3,3.8,1.9,0.5,2.6,55.0,90.4,0.88,1.69,0.60,-0.09,1.93,-0.32,0.78,1.11,1.30
6,Trae Young,ATL,14,35.6,25.7,2.9,12.1,1.6,0.1,3.4,45.3,88.9,0.87,1.57,-1.13,3.66,1.16,-1.09,1.56,-0.89,2.14
7,Deni Avdija,POR,11,35.7,26.1,10.4,5.5,1.3,0.5,3.0,51.1,82.7,0.83,1.64,1.79,0.72,0.51,-0.33,1.15,0.27,0.87
8,Josh Giddey,CHI,10,33.6,19.4,10.6,10.1,1.9,0.7,1.6,47.9,75.9,0.79,0.45,1.88,2.77,1.88,0.16,-0.18,-0.28,-0.40
9,Stephen Curry,GSW,13,32.3,25.7,4.8,5.5,1.5,0.5,4.5,44.8,92.3,0.74,1.57,-0.39,0.71,0.92,-0.32,2.54,-1.06,1.94
10,Tyrese Haliburton,IND,12,31.8,19.8,3.8,10.6,1.3,1.0,2.8,51.2,81.8,0.71,0.53,-0.79,2.99,0.64,0.75,0.99,0.26,0.29
