,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
1,Nikola Jokic,DEN,70,36.8,29.6,12.7,10.2,1.8,0.6,2.0,57.6,80.0,1.58,2.22,2.69,3.08,1.95,-0.09,0.19,2.53,0.07
2,Victor Wembanyama,SAS,46,33.1,24.3,11.0,3.7,1.1,3.8,3.1,47.6,83.6,1.35,1.26,1.99,-0.18,0.17,5.91,1.31,-0.13,0.46
3,Shai Gilgeous-Alexander,OKC,76,34.2,32.7,5.0,6.4,1.7,1.0,2.1,51.9,89.8,1.26,2.77,-0.39,1.18,1.72,0.61,0.37,1.12,2.69
4,Luka Doncic,DAL/LAL,50,35.3,28.2,8.2,7.7,1.8,0.4,3.5,45.0,78.2,0.82,1.96,0.88,1.81,1.87,-0.51,1.76,-0.89,-0.32
5,James Harden,LAC,79,35.3,22.8,5.8,8.7,1.5,0.7,3.0,41.0,87.4,0.71,1.00,-0.08,2.32,1.12,0.01,1.19,-1.58,1.69
6,Anthony Davis,DAL/LAL,51,33.4,24.7,11.6,3.5,1.2,2.2,0.7,51.6,77.5,0.71,1.35,2.22,-0.23,0.24,2.76,-1.09,0.87,-0.46
7,Damian Lillard,MIL,58,36.1,24.9,4.7,7.1,1.2,0.2,3.4,44.8,92.1,0.64,1.39,-0.51,1.52,0.37,-0.97,1.62,-0.77,2.52
8,Karl-Anthony Towns,NYK,72,35.0,24.4,12.8,3.1,1.0,0.7,2.0,52.6,82.9,0.64,1.29,2.70,-0.46,-0.21,0.01,0.19,1.05,0.54
9,Stephen Curry,GSW,70,32.1,24.5,4.4,6.0,1.1,0.4,4.4,44.8,93.3,0.62,1.31,-0.61,0.99,0.20,-0.49,2.66,-0.80,1.71
