,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
1,Nikola Jokic,DEN,70,2575,2071,892,716,127,45,138,57.6,80.0,1.72,2.42,2.85,3.10,2.16,0.05,0.25,2.77,0.20
2,Shai Gilgeous-Alexander,OKC,76,2597,2484,379,486,131,77,163,51.9,89.8,1.70,3.46,-0.05,1.53,2.31,1.03,0.60,1.31,3.42
3,James Harden,LAC,79,2789,1802,456,687,118,55,235,41.0,87.4,1.14,1.75,0.39,2.90,1.81,0.36,1.61,-2.00,2.27
4,Anthony Edwards,MIN,79,2866,2177,450,359,91,51,320,44.7,83.7,0.92,2.69,0.36,0.66,0.78,0.23,2.80,-1.23,1.07
5,Karl-Anthony Towns,NYK,72,2519,1759,920,222,71,50,142,52.6,82.9,0.85,1.64,3.01,-0.27,0.01,0.20,0.31,1.16,0.72
6,Trae Young,ATL,76,2737,1841,236,880,91,12,218,41.1,87.5,0.82,1.85,-0.85,4.21,0.78,-0.97,1.37,-2.10,2.25
7,Tyrese Haliburton,IND,73,2452,1359,258,673,105,49,218,47.3,85.1,0.75,0.64,-0.73,2.80,1.31,0.17,1.37,-0.16,0.59
8,Jayson Tatum,BOS,72,2622,1932,623,431,76,38,250,45.2,81.4,0.74,2.07,1.33,1.15,0.20,-0.17,1.82,-0.96,0.46
9,Stephen Curry,GSW,70,2248,1718,310,421,80,30,311,44.8,93.3,0.73,1.54,-0.44,1.09,0.35,-0.42,2.67,-0.91,1.98
10,Cade Cunningham,DET,70,2452,1830,425,638,71,53,149,46.9,84.6,0.73,1.82,0.21,2.56,0.01,0.29,0.40,-0.40,0.94
11,Dyson Daniels,ATL,76,2573,1073,449,333,229,55,80,49.3,59.3,0.69,-0.08,0.35,0.49,6.08,0.36,-0.56,0.25,-1.37
12,LeBron James,LAL,70,2446,1710,546,575,70,39,149,51.3,78.2,0.68,1.52,0.90,2.13,-0.03,-0.14,0.40,0.84,-0.16
13,Devin Booker,PHX,75,2794,1923,305,529,67,16,183,46.1,89.4,0.62,2.05,-0.46,1.82,-0.15,-0.85,0.88,-0.66,2.36
14,Tyler Herro,MIA,77,2726,1840,399,424,69,17,251,47.2,87.8,0.62,1.84,0.07,1.11,-0.07,-0.82,1.83,-0.29,1.32
15,Josh Hart,NYK,77,2894,1051,737,453,119,27,84,52.5,77.6,0.57,-0.13,1.98,1.30,1.85,-0.51,-0.51,0.76,-0.19
16,Ivica Zubac,LAC,80,2623,1340,1010,214,55,90,0,62.8,66.1,0.56,0.59,3.52,-0.32,-0.61,1.44,-1.69,3.01,-1.49
17,Domantas Sabonis,SAC,70,2427,1337,972,423,48,26,65,59.0,75.4,0.55,0.58,3.31,1.10,-0.88,-0.54,-0.77,2.12,-0.53
18,Jaren Jackson,MEM,74,2203,1641,417,148,92,113,146,48.8,78.1,0.50,1.34,0.17,-0.77,0.82,2.15,0.36,0.17,-0.19
19,Victor Wembanyama,SAS,46,1524,1116,506,168,52,176,142,47.6,83.6,0.50,0.03,0.67,-0.64,-0.72,4.09,0.31,-0.07,0.36
20,Kevin Durant,PHX,62,2268,1647,374,263,50,77,160,52.7,83.9,0.50,1.36,-0.07,0.01,-0.80,1.03,0.56,1.10,0.81
21,Bam Adebayo,MIA,78,2678,1410,749,337,98,53,79,48.5,76.5,0.47,0.77,2.05,0.51,1.05,0.29,-0.58,0.10,-0.42
22,Nikola Vucevic,CHI,73,2274,1349,735,256,61,52,129,53.0,80.5,0.46,0.61,1.97,-0.04,-0.38,0.26,0.12,1.10,0.05
23,Darius Garland,CLE,75,2300,1544,214,506,91,11,212,47.2,87.8,0.45,1.10,-0.98,1.66,0.78,-1.00,1.29,-0.24,1.02
24,Evan Mobley,CLE,71,2170,1316,659,226,61,113,85,55.7,72.5,0.45,0.53,1.54,-0.24,-0.38,2.15,-0.49,1.51,-0.99
25,Austin Reaves,LAL,73,2550,1475,329,420,81,22,200,46.0,87.7,0.44,0.93,-0.33,1.08,0.39,-0.66,1.12,-0.47,1.47
26,Derrick White,BOS,76,2571,1248,341,361,72,80,265,44.2,83.9,0.44,0.36,-0.26,0.68,0.05,1.13,2.03,-0.79,0.31
27,Jarrett Allen,CLE,82,2294,1103,798,158,77,73,0,70.6,71.8,0.41,0.00,2.32,-0.71,0.24,0.91,-1.69,3.15,-0.98
28,Jalen Williams,OKC,69,2238,1490,369,354,111,46,124,48.4,78.9,0.40,0.97,-0.10,0.63,1.55,0.08,0.05,0.06,-0.05
29,Desmond Bane,MEM,69,2202,1327,418,369,80,28,164,48.4,89.4,0.37,0.56,0.17,0.73,0.35,-0.48,0.61,0.08,0.92
30,Damian Lillard,MIL,58,2094,1447,272,410,70,10,197,44.8,92.1,0.37,0.86,-0.65,1.01,-0.03,-1.03,1.08,-0.71,2.40
31,Jamal Murray,DEN,67,2421,1436,261,403,91,33,156,47.4,88.6,0.37,0.83,-0.71,0.96,0.78,-0.32,0.50,-0.18,1.07
32,Donovan Mitchell,CLE,71,2230,1701,322,354,95,17,233,44.3,82.3,0.36,1.49,-0.37,0.63,0.93,-0.82,1.58,-1.10,0.53
33,Zach LaVine,CHI/SAC,74,2609,1724,315,310,58,12,239,51.1,82.5,0.36,1.55,-0.41,0.33,-0.49,-0.97,1.67,0.78,0.42
34,OG Anunoby,NYK,74,2704,1332,358,164,110,65,171,47.6,81.0,0.33,0.57,-0.16,-0.67,1.51,0.66,0.71,-0.10,0.16
35,Giannis Antetokounmpo,MIL,67,2291,2036,798,433,58,78,14,60.1,61.7,0.31,2.33,2.32,1.17,-0.49,1.07,-1.49,3.39,-5.80
36,Brook Lopez,MIL,80,2546,1041,401,143,50,148,139,50.9,82.6,0.31,-0.16,0.08,-0.81,-0.80,3.23,0.26,0.50,0.17
37,Josh Giddey,CHI,70,2116,1022,566,503,84,45,105,46.5,78.1,0.30,-0.21,1.01,1.64,0.51,0.05,-0.21,-0.25,-0.14
38,Myles Turner,IND,72,2173,1120,471,111,54,144,156,48.1,77.3,0.28,0.04,0.47,-1.03,-0.65,3.10,0.50,0.02,-0.24
39,Coby White,CHI,74,2449,1509,273,330,69,16,216,45.3,90.2,0.27,1.01,-0.65,0.47,-0.07,-0.85,1.34,-0.68,1.59
40,Pascal Siakam,IND,78,2553,1578,540,263,70,42,126,51.9,73.4,0.27,1.19,0.86,0.01,-0.03,-0.05,0.08,0.95,-0.86
41,Christian Braun,DEN,79,2675,1218,410,205,85,37,89,58.0,82.7,0.25,0.28,0.13,-0.39,0.55,-0.20,-0.44,1.77,0.32
42,Alperen Sengun,HOU,76,2399,1451,786,372,84,61,21,49.6,69.2,0.23,0.87,2.25,0.75,0.51,0.54,-1.39,0.36,-2.02
43,Anthony Davis,DAL/LAL,51,1703,1261,590,181,59,110,35,51.6,77.5,0.23,0.39,1.15,-0.55,-0.45,2.05,-1.20,0.71,-0.30
44,Mikal Bridges,NYK,82,3038,1444,259,306,75,43,164,50.0,81.4,0.22,0.85,-0.72,0.30,0.16,-0.01,0.61,0.48,0.07
45,Jalen Duren,DET,78,2035,918,807,209,54,89,0,69.2,66.9,0.22,-0.47,2.37,-0.36,-0.65,1.40,-1.69,2.54,-1.43
46,Jaden McDaniels,MIN,82,2618,1000,470,163,110,74,100,47.7,81.3,0.22,-0.26,0.47,-0.67,1.51,0.94,-0.28,-0.04,0.07
47,Jordan Poole,WAS,68,2002,1391,203,303,86,27,235,43.2,88.3,0.21,0.72,-1.04,0.28,0.58,-0.51,1.61,-1.11,1.16
48,Amen Thompson,HOU,69,2223,970,564,265,97,89,25,55.7,68.4,0.21,-0.34,1.00,0.02,1.01,1.40,-1.34,1.18,-1.29
49,Luka Doncic,DAL/LAL,50,1766,1408,409,383,89,21,177,45.0,78.2,0.21,0.76,0.12,0.83,0.70,-0.69,0.80,-0.69,-0.18
50,Chris Paul,SAS,82,2288,723,296,605,103,22,140,42.7,92.4,0.20,-0.96,-0.52,2.34,1.24,-0.66,0.28,-0.63,0.52
51,DeMar DeRozan,SAC,77,2766,1710,298,342,62,32,84,47.7,85.7,0.20,1.52,-0.50,0.55,-0.34,-0.35,-0.51,-0.14,1.37
52,Jalen Brunson,NYK,65,2300,1690,187,475,60,8,152,48.8,82.1,0.19,1.47,-1.13,1.45,-0.42,-1.09,0.45,0.15,0.64
53,De'Aaron Fox,SAC/SAS,62,2242,1459,298,392,91,25,118,46.3,82.7,0.19,0.89,-0.50,0.89,0.78,-0.57,-0.03,-0.45,0.52
54,Scottie Barnes,TOR,65,2136,1252,502,378,93,63,76,44.6,75.5,0.16,0.37,0.65,0.79,0.85,0.60,-0.62,-0.80,-0.54
55,Michael Porter,DEN,77,2593,1398,540,165,50,38,193,50.4,76.8,0.16,0.74,0.86,-0.66,-0.80,-0.17,1.02,0.52,-0.26
56,Onyeka Okongwu,ATL,74,2058,988,660,168,69,68,48,56.7,75.9,0.15,-0.29,1.54,-0.64,-0.07,0.76,-1.01,1.31,-0.37
57,Jalen Green,HOU,82,2697,1723,377,282,71,27,234,42.3,81.3,0.15,1.55,-0.06,0.14,0.01,-0.51,1.60,-1.83,0.32
58,Rudy Gobert,MIN,72,2391,866,785,127,56,104,0,66.9,67.4,0.12,-0.60,2.25,-0.92,-0.57,1.87,-1.69,2.12,-1.54
59,Payton Pritchard,BOS,80,2273,1144,307,279,70,14,255,47.2,84.5,0.09,0.10,-0.45,0.12,-0.03,-0.91,1.89,-0.14,0.15
60,Deni Avdija,POR,72,2160,1219,522,281,71,35,125,47.6,78.0,0.09,0.29,0.76,0.13,0.01,-0.26,0.07,-0.06,-0.22
61,Naz Reid,MIN,80,2205,1138,480,181,58,72,175,46.2,77.6,0.09,0.08,0.52,-0.55,-0.49,0.88,0.77,-0.37,-0.15
62,Franz Wagner,ORL,60,2023,1449,342,284,75,21,104,46.3,87.1,0.09,0.86,-0.26,0.15,0.16,-0.69,-0.23,-0.47,1.15
63,Tyrese Maxey,PHI,52,1962,1369,174,317,91,21,161,43.7,87.9,0.08,0.66,-1.21,0.38,0.78,-0.69,0.57,-1.03,1.17
