,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Precious Achiuwa,MIA,C,65,15.00000,5.84615,4.10769,0.70769,0.32308,0.38462,0.72308,2.44615,4.78462,51.1,0.24615,0.90769,27.1,0.70769,1.13846,62.2,1.27692,2.84615
Steven Adams,HOU,C,58,15.00000,4.34483,5.65517,1.53448,0.48276,0.65517,0.86207,1.86207,3.17241,58.7,0.00000,0.00000,0.0,0.62069,1.50000,41.4,2.60345,3.05172
Bam Adebayo,MIA,C,74,34.00000,19.67568,9.41892,4.75676,1.12162,0.90541,2.37838,7.40541,15.29730,48.4,1.22973,3.40541,36.1,3.63514,4.75676,76.4,2.28378,7.13514
Ochai Agbaji,TOR,F,69,19.40580,6.94203,2.36232,1.27536,0.56522,0.50725,0.81159,2.56522,6.28986,40.8,0.79710,2.79710,28.5,1.01449,1.36232,74.5,0.71014,1.65217
Santi Aldama,MEM,F,70,29.00000,15.12857,7.25714,3.77143,0.87143,0.64286,1.28571,5.57143,11.60000,48.0,2.20000,5.80000,37.9,1.78571,2.57143,69.4,2.75714,4.50000
Nickeil Alexander-Walker,ATL,G,76,26.19737,9.63158,3.14474,2.78947,0.92105,0.52632,1.31579,3.28947,7.59211,43.3,1.82895,4.71053,38.8,1.22368,1.56579,78.2,0.61842,2.52632
Grayson Allen,PHX,G,67,26.00000,10.14925,3.19403,2.28358,0.65672,0.25373,0.61194,3.37313,7.19403,46.9,1.98507,4.59701,43.2,1.41791,1.61194,88.0,0.46269,2.73134
Jarrett Allen,CLE,C,77,28.00000,14.25974,9.87013,2.14286,0.84416,0.93506,1.27273,5.84416,8.35065,70.0,0.07792,0.27273,28.6,2.49351,3.35065,74.4,3.37662,6.49351
Jose Alvarado,NOP,G,60,18.70000,8.26667,2.05000,3.00000,1.11667,0.18333,0.93333,2.86667,6.73333,42.6,1.60000,4.11667,38.9,0.93333,1.18333,78.9,0.51667,1.55000
Kyle Anderson,UTA,F,70,20.00000,7.12857,3.75714,3.00000,0.84286,0.60000,0.95714,2.88571,5.95714,48.4,0.37143,1.10000,33.8,0.98571,1.41429,69.7,0.70000,3.05714
Giannis Antetokounmpo,MIL,F,68,34.50000,31.77941,11.54412,6.89706,1.02941,1.02941,4.30882,12.10294,21.22059,57.0,0.51471,1.89706,27.1,7.05882,11.04412,63.9,1.98529,9.54412
Cole Anthony,MIL,G,65,18.00000,9.72308,3.06154,2.58462,0.63077,0.35385,1.49231,3.50769,8.10769,43.3,1.13846,3.24615,35.1,1.56923,1.84615,85.0,0.27692,2.78462
OG Anunoby,NYK,F,67,34.89552,17.43284,4.71642,2.08955,1.64179,0.86567,1.40299,6.40299,13.26866,48.3,2.25373,5.94030,37.9,2.37313,2.97015,79.9,1.31343,3.38806
Deni Avdija,POR,F,74,32.00000,18.75676,7.51351,4.48649,1.18919,0.58108,3.04054,6.24324,13.12162,47.6,2.01351,5.44595,37.0,4.25676,5.59459,76.1,0.91892,6.59459
